,AFR,AFR-O,DT,DT-O,GM,NYT,NZH,ODT,SMH,SMH-O,TG,TS,TS-O,USA
2010,240,0,580,67,506,511,545,0,557,0,1070,526,1,251
2011,206,0,562,537,392,377,551,0,659,0,1291,535,0,230
2012,223,0,738,1529,418,315,862,0,1010,0,1308,520,6,237
2013,182,0,691,1384,509,516,1102,0,646,244,1564,635,2,337
2014,283,0,575,1618,549,470,802,0,624,239,1384,1073,2,244
2015,207,10,586,1182,527,475,484,0,544,703,2236,718,1,218
2016,206,191,503,2022,573,471,562,0,530,588,2388,804,3,257
2017,254,161,448,937,466,230,681,0,371,362,739,519,180,190
2018,326,300,734,957,672,323,857,99,506,657,1195,812,566,239
2019,299,303,664,1200,543,377,967,73,436,536,1129,777,1511,188
2020,323,340,689,1519,484,293,846,57,359,356,1195,669,1752,199
